title,author,level,rating_band,skill,book_theme,chapter,chapter_theme,what_this_chapter_teaches,what_weakness_it_solves,folder_path,relative_path,file_path
What Chess Coaches Don't Tell You,John Doknjas and Victoria Doknjas,U1400,U1400,Training and Improvement Process,"How to train, analyse games, and build a practical improvement routine.",Analyzing Your Games,"Post-game review, self-diagnosis, and learning from mistakes.","Post-game review, self-diagnosis, and learning from mistakes.",General strategic confusion and inconsistent practical decision-making.,C:\Chess books\Organized PDFs\U1400\Training and Improvement Process,U1400\Training and Improvement Process\What Chess Coaches Don't Tell You - Doknjas and Doknjas.pdf,C:\Chess books\Organized PDFs\U1400\Training and Improvement Process\What Chess Coaches Don't Tell You - Doknjas and Doknjas.pdf
What Chess Coaches Don't Tell You,John Doknjas and Victoria Doknjas,U1400,U1400,Training and Improvement Process,"How to train, analyse games, and build a practical improvement routine.",Creating an Opening Database,Opening preparation and repertoire management.,Opening preparation and repertoire management.,General strategic confusion and inconsistent practical decision-making.,C:\Chess books\Organized PDFs\U1400\Training and Improvement Process,U1400\Training and Improvement Process\What Chess Coaches Don't Tell You - Doknjas and Doknjas.pdf,C:\Chess books\Organized PDFs\U1400\Training and Improvement Process\What Chess Coaches Don't Tell You - Doknjas and Doknjas.pdf
What Chess Coaches Don't Tell You,John Doknjas and Victoria Doknjas,U1400,U1400,Training and Improvement Process,"How to train, analyse games, and build a practical improvement routine.",Will to Win: Essential Endgames,Core endgames every improving player should know.,Core endgames every improving player should know.,"Late-game technique errors, weak conversion, and imprecise defensive play.",C:\Chess books\Organized PDFs\U1400\Training and Improvement Process,U1400\Training and Improvement Process\What Chess Coaches Don't Tell You - Doknjas and Doknjas.pdf,C:\Chess books\Organized PDFs\U1400\Training and Improvement Process\What Chess Coaches Don't Tell You - Doknjas and Doknjas.pdf
What Chess Coaches Don't Tell You,John Doknjas and Victoria Doknjas,U1400,U1400,Training and Improvement Process,"How to train, analyse games, and build a practical improvement routine.",Tactics and Studies,"Pattern training, calculation, and tactical imagination.","Pattern training, calculation, and tactical imagination.",General strategic confusion and inconsistent practical decision-making.,C:\Chess books\Organized PDFs\U1400\Training and Improvement Process,U1400\Training and Improvement Process\What Chess Coaches Don't Tell You - Doknjas and Doknjas.pdf,C:\Chess books\Organized PDFs\U1400\Training and Improvement Process\What Chess Coaches Don't Tell You - Doknjas and Doknjas.pdf
What Chess Coaches Don't Tell You,John Doknjas and Victoria Doknjas,U1400,U1400,Training and Improvement Process,"How to train, analyse games, and build a practical improvement routine.",Slowing Down,Time management and reducing impulsive decisions.,Time management and reducing impulsive decisions.,General strategic confusion and inconsistent practical decision-making.,C:\Chess books\Organized PDFs\U1400\Training and Improvement Process,U1400\Training and Improvement Process\What Chess Coaches Don't Tell You - Doknjas and Doknjas.pdf,C:\Chess books\Organized PDFs\U1400\Training and Improvement Process\What Chess Coaches Don't Tell You - Doknjas and Doknjas.pdf
What Chess Coaches Don't Tell You,John Doknjas and Victoria Doknjas,U1400,U1400,Training and Improvement Process,"How to train, analyse games, and build a practical improvement routine.",Training Games,Using practice games effectively.,Using practice games effectively.,"Unstructured training, inconsistent study habits, and slow long-term improvement.",C:\Chess books\Organized PDFs\U1400\Training and Improvement Process,U1400\Training and Improvement Process\What Chess Coaches Don't Tell You - Doknjas and Doknjas.pdf,C:\Chess books\Organized PDFs\U1400\Training and Improvement Process\What Chess Coaches Don't Tell You - Doknjas and Doknjas.pdf
What Chess Coaches Don't Tell You,John Doknjas and Victoria Doknjas,U1400,U1400,Training and Improvement Process,"How to train, analyse games, and build a practical improvement routine.",Tension: To Exchange or Not To Exchange,Decision-making around exchanges and piece tension.,Decision-making around exchanges and piece tension.,"Missed attacking chances, weak king-safety awareness, and slow conversion of forcing positions.",C:\Chess books\Organized PDFs\U1400\Training and Improvement Process,U1400\Training and Improvement Process\What Chess Coaches Don't Tell You - Doknjas and Doknjas.pdf,C:\Chess books\Organized PDFs\U1400\Training and Improvement Process\What Chess Coaches Don't Tell You - Doknjas and Doknjas.pdf
What Chess Coaches Don't Tell You,John Doknjas and Victoria Doknjas,U1400,U1400,Training and Improvement Process,"How to train, analyse games, and build a practical improvement routine.",FAQ for Chess Parents or Those New to Competitive Chess,Practical tournament and improvement advice.,Practical tournament and improvement advice.,"Unstructured training, inconsistent study habits, and slow long-term improvement.",C:\Chess books\Organized PDFs\U1400\Training and Improvement Process,U1400\Training and Improvement Process\What Chess Coaches Don't Tell You - Doknjas and Doknjas.pdf,C:\Chess books\Organized PDFs\U1400\Training and Improvement Process\What Chess Coaches Don't Tell You - Doknjas and Doknjas.pdf
Encyclopedia of Chess Wisdom,Eric Schiller,All Ratings,All Ratings,General Reference,Broad reference coverage across practical and theoretical chess topics.,The Opening,"Opening principles, traps, and practical opening knowledge.","Opening principles, traps, and practical opening knowledge.","Directionless opening play, early inaccuracies, and poor repertoire discipline.",C:\Chess books\Organized PDFs\All Ratings\General Reference,All Ratings\General Reference\Encyclopedia of Chess Wisdom - Eric Schiller.pdf,C:\Chess books\Organized PDFs\All Ratings\General Reference\Encyclopedia of Chess Wisdom - Eric Schiller.pdf
Encyclopedia of Chess Wisdom,Eric Schiller,All Ratings,All Ratings,General Reference,Broad reference coverage across practical and theoretical chess topics.,The Middlegame,"Piece play, plans, imbalances, and typical middlegame decisions.","Piece play, plans, imbalances, and typical middlegame decisions.",General strategic confusion and inconsistent practical decision-making.,C:\Chess books\Organized PDFs\All Ratings\General Reference,All Ratings\General Reference\Encyclopedia of Chess Wisdom - Eric Schiller.pdf,C:\Chess books\Organized PDFs\All Ratings\General Reference\Encyclopedia of Chess Wisdom - Eric Schiller.pdf
Encyclopedia of Chess Wisdom,Eric Schiller,All Ratings,All Ratings,General Reference,Broad reference coverage across practical and theoretical chess topics.,The Endgame,"Technical endings, conversion, and defensive technique.","Technical endings, conversion, and defensive technique.","Late-game technique errors, weak conversion, and imprecise defensive play.",C:\Chess books\Organized PDFs\All Ratings\General Reference,All Ratings\General Reference\Encyclopedia of Chess Wisdom - Eric Schiller.pdf,C:\Chess books\Organized PDFs\All Ratings\General Reference\Encyclopedia of Chess Wisdom - Eric Schiller.pdf
Encyclopedia of Chess Wisdom,Eric Schiller,All Ratings,All Ratings,General Reference,Broad reference coverage across practical and theoretical chess topics.,Strategy,"Long-term planning, pawn structure, weak squares, and maneuvering.","Long-term planning, pawn structure, weak squares, and maneuvering.","Poor decision-making, impulsive move choice, and weak candidate-move discipline.",C:\Chess books\Organized PDFs\All Ratings\General Reference,All Ratings\General Reference\Encyclopedia of Chess Wisdom - Eric Schiller.pdf,C:\Chess books\Organized PDFs\All Ratings\General Reference\Encyclopedia of Chess Wisdom - Eric Schiller.pdf
Encyclopedia of Chess Wisdom,Eric Schiller,All Ratings,All Ratings,General Reference,Broad reference coverage across practical and theoretical chess topics.,"Tactics, Sacrifices, and Combinations",Tactical motifs and forcing play.,Tactical motifs and forcing play.,"Missed tactical motifs, shallow calculation, and failure to notice forcing moves in time.",C:\Chess books\Organized PDFs\All Ratings\General Reference,All Ratings\General Reference\Encyclopedia of Chess Wisdom - Eric Schiller.pdf,C:\Chess books\Organized PDFs\All Ratings\General Reference\Encyclopedia of Chess Wisdom - Eric Schiller.pdf
Encyclopedia of Chess Wisdom,Eric Schiller,All Ratings,All Ratings,General Reference,Broad reference coverage across practical and theoretical chess topics.,Analysis,Thinking process and game analysis.,Thinking process and game analysis.,"Missed attacking chances, weak king-safety awareness, and slow conversion of forcing positions.",C:\Chess books\Organized PDFs\All Ratings\General Reference,All Ratings\General Reference\Encyclopedia of Chess Wisdom - Eric Schiller.pdf,C:\Chess books\Organized PDFs\All Ratings\General Reference\Encyclopedia of Chess Wisdom - Eric Schiller.pdf
Encyclopedia of Chess Wisdom,Eric Schiller,All Ratings,All Ratings,General Reference,Broad reference coverage across practical and theoretical chess topics.,Training,Study methods and improvement work.,Study methods and improvement work.,General strategic confusion and inconsistent practical decision-making.,C:\Chess books\Organized PDFs\All Ratings\General Reference,All Ratings\General Reference\Encyclopedia of Chess Wisdom - Eric Schiller.pdf,C:\Chess books\Organized PDFs\All Ratings\General Reference\Encyclopedia of Chess Wisdom - Eric Schiller.pdf
Encyclopedia of Chess Wisdom,Eric Schiller,All Ratings,All Ratings,General Reference,Broad reference coverage across practical and theoretical chess topics.,Psychology,Competitive mindset and emotional control.,Competitive mindset and emotional control.,General strategic confusion and inconsistent practical decision-making.,C:\Chess books\Organized PDFs\All Ratings\General Reference,All Ratings\General Reference\Encyclopedia of Chess Wisdom - Eric Schiller.pdf,C:\Chess books\Organized PDFs\All Ratings\General Reference\Encyclopedia of Chess Wisdom - Eric Schiller.pdf
Encyclopedia of Chess Wisdom,Eric Schiller,All Ratings,All Ratings,General Reference,Broad reference coverage across practical and theoretical chess topics.,Etiquette,Tournament behavior and practical norms.,Tournament behavior and practical norms.,"Unstructured training, inconsistent study habits, and slow long-term improvement.",C:\Chess books\Organized PDFs\All Ratings\General Reference,All Ratings\General Reference\Encyclopedia of Chess Wisdom - Eric Schiller.pdf,C:\Chess books\Organized PDFs\All Ratings\General Reference\Encyclopedia of Chess Wisdom - Eric Schiller.pdf
Encyclopedia of Chess Wisdom,Eric Schiller,All Ratings,All Ratings,General Reference,Broad reference coverage across practical and theoretical chess topics.,Rules,Formal rules of play and edge cases.,Formal rules of play and edge cases.,General strategic confusion and inconsistent practical decision-making.,C:\Chess books\Organized PDFs\All Ratings\General Reference,All Ratings\General Reference\Encyclopedia of Chess Wisdom - Eric Schiller.pdf,C:\Chess books\Organized PDFs\All Ratings\General Reference\Encyclopedia of Chess Wisdom - Eric Schiller.pdf
Encyclopedia of Chess Wisdom,Eric Schiller,All Ratings,All Ratings,General Reference,Broad reference coverage across practical and theoretical chess topics.,The Scoresheet,Notation and keeping an accurate record.,Notation and keeping an accurate record.,"Missed tactical motifs, shallow calculation, and failure to notice forcing moves in time.",C:\Chess books\Organized PDFs\All Ratings\General Reference,All Ratings\General Reference\Encyclopedia of Chess Wisdom - Eric Schiller.pdf,C:\Chess books\Organized PDFs\All Ratings\General Reference\Encyclopedia of Chess Wisdom - Eric Schiller.pdf
Encyclopedia of Chess Wisdom,Eric Schiller,All Ratings,All Ratings,General Reference,Broad reference coverage across practical and theoretical chess topics.,Ratings,How rating systems work and what they mean.,How rating systems work and what they mean.,General strategic confusion and inconsistent practical decision-making.,C:\Chess books\Organized PDFs\All Ratings\General Reference,All Ratings\General Reference\Encyclopedia of Chess Wisdom - Eric Schiller.pdf,C:\Chess books\Organized PDFs\All Ratings\General Reference\Encyclopedia of Chess Wisdom - Eric Schiller.pdf
Planning - Move by Move,Zenon Franco,1400-1799,1400-1799,Planning and Positional Strategy,Turning static features and structures into concrete middlegame plans.,Typical Structures,Recognising pawn structures and matching them with plans.,Recognising pawn structures and matching them with plans.,General strategic confusion and inconsistent practical decision-making.,C:\Chess books\Organized PDFs\1400-1799\Planning and Positional Strategy,1400-1799\Planning and Positional Strategy\Planning - Move by Move - Zenon Franco.pdf,C:\Chess books\Organized PDFs\1400-1799\Planning and Positional Strategy\Planning - Move by Move - Zenon Franco.pdf
Planning - Move by Move,Zenon Franco,1400-1799,1400-1799,Planning and Positional Strategy,Turning static features and structures into concrete middlegame plans.,Space Advantage,Using extra room to improve pieces and restrict counterplay.,Using extra room to improve pieces and restrict counterplay.,General strategic confusion and inconsistent practical decision-making.,C:\Chess books\Organized PDFs\1400-1799\Planning and Positional Strategy,1400-1799\Planning and Positional Strategy\Planning - Move by Move - Zenon Franco.pdf,C:\Chess books\Organized PDFs\1400-1799\Planning and Positional Strategy\Planning - Move by Move - Zenon Franco.pdf
Planning - Move by Move,Zenon Franco,1400-1799,1400-1799,Planning and Positional Strategy,Turning static features and structures into concrete middlegame plans.,The Manoeuvring Game,Improving piece placement without immediate tactics.,Improving piece placement without immediate tactics.,General strategic confusion and inconsistent practical decision-making.,C:\Chess books\Organized PDFs\1400-1799\Planning and Positional Strategy,1400-1799\Planning and Positional Strategy\Planning - Move by Move - Zenon Franco.pdf,C:\Chess books\Organized PDFs\1400-1799\Planning and Positional Strategy\Planning - Move by Move - Zenon Franco.pdf
Planning - Move by Move,Zenon Franco,1400-1799,1400-1799,Planning and Positional Strategy,Turning static features and structures into concrete middlegame plans.,Simplification,Choosing exchanges that help your plan.,Choosing exchanges that help your plan.,General strategic confusion and inconsistent practical decision-making.,C:\Chess books\Organized PDFs\1400-1799\Planning and Positional Strategy,1400-1799\Planning and Positional Strategy\Planning - Move by Move - Zenon Franco.pdf,C:\Chess books\Organized PDFs\1400-1799\Planning and Positional Strategy\Planning - Move by Move - Zenon Franco.pdf
Planning - Move by Move,Zenon Franco,1400-1799,1400-1799,Planning and Positional Strategy,Turning static features and structures into concrete middlegame plans.,Attack and Defence,"Balancing initiative, prevention, and practical resistance.","Balancing initiative, prevention, and practical resistance.","Missed attacking chances, weak king-safety awareness, and slow conversion of forcing positions.",C:\Chess books\Organized PDFs\1400-1799\Planning and Positional Strategy,1400-1799\Planning and Positional Strategy\Planning - Move by Move - Zenon Franco.pdf,C:\Chess books\Organized PDFs\1400-1799\Planning and Positional Strategy\Planning - Move by Move - Zenon Franco.pdf
Middlegame Themes and Dynamics,Konstantin Sakaev and Konstantin Landa,1400-1799,1400-1799,"Middlegame Themes, Pawn Play and Tactics",A motif-based middlegame manual built around pawn structures and tactical devices.,The passed pawn,Creating and exploiting passed pawns.,Creating and exploiting passed pawns.,General strategic confusion and inconsistent practical decision-making.,"C:\Chess books\Organized PDFs\1400-1799\Middlegame Themes, Pawn Play and Tactics","1400-1799\Middlegame Themes, Pawn Play and Tactics\Middlegame Themes and Dynamics - Sakaev and Landa.pdf","C:\Chess books\Organized PDFs\1400-1799\Middlegame Themes, Pawn Play and Tactics\Middlegame Themes and Dynamics - Sakaev and Landa.pdf"
Middlegame Themes and Dynamics,Konstantin Sakaev and Konstantin Landa,1400-1799,1400-1799,"Middlegame Themes, Pawn Play and Tactics",A motif-based middlegame manual built around pawn structures and tactical devices.,The protected passed pawn,Using a supported passer as a strategic asset.,Using a supported passer as a strategic asset.,General strategic confusion and inconsistent practical decision-making.,"C:\Chess books\Organized PDFs\1400-1799\Middlegame Themes, Pawn Play and Tactics","1400-1799\Middlegame Themes, Pawn Play and Tactics\Middlegame Themes and Dynamics - Sakaev and Landa.pdf","C:\Chess books\Organized PDFs\1400-1799\Middlegame Themes, Pawn Play and Tactics\Middlegame Themes and Dynamics - Sakaev and Landa.pdf"
Middlegame Themes and Dynamics,Konstantin Sakaev and Konstantin Landa,1400-1799,1400-1799,"Middlegame Themes, Pawn Play and Tactics",A motif-based middlegame manual built around pawn structures and tactical devices.,Blockading a passed pawn,Stopping enemy passers with pieces and squares.,Stopping enemy passers with pieces and squares.,"Missed tactical motifs, shallow calculation, and failure to notice forcing moves in time.","C:\Chess books\Organized PDFs\1400-1799\Middlegame Themes, Pawn Play and Tactics","1400-1799\Middlegame Themes, Pawn Play and Tactics\Middlegame Themes and Dynamics - Sakaev and Landa.pdf","C:\Chess books\Organized PDFs\1400-1799\Middlegame Themes, Pawn Play and Tactics\Middlegame Themes and Dynamics - Sakaev and Landa.pdf"
Middlegame Themes and Dynamics,Konstantin Sakaev and Konstantin Landa,1400-1799,1400-1799,"Middlegame Themes, Pawn Play and Tactics",A motif-based middlegame manual built around pawn structures and tactical devices.,A pawn wedge in the enemy camp,Fixing and cramping the opponent.,Fixing and cramping the opponent.,"Missed tactical motifs, shallow calculation, and failure to notice forcing moves in time.","C:\Chess books\Organized PDFs\1400-1799\Middlegame Themes, Pawn Play and Tactics","1400-1799\Middlegame Themes, Pawn Play and Tactics\Middlegame Themes and Dynamics - Sakaev and Landa.pdf","C:\Chess books\Organized PDFs\1400-1799\Middlegame Themes, Pawn Play and Tactics\Middlegame Themes and Dynamics - Sakaev and Landa.pdf"
Middlegame Themes and Dynamics,Konstantin Sakaev and Konstantin Landa,1400-1799,1400-1799,"Middlegame Themes, Pawn Play and Tactics",A motif-based middlegame manual built around pawn structures and tactical devices.,Queening pawns,Promotion races and conversion technique.,Promotion races and conversion technique.,"Missed tactical motifs, shallow calculation, and failure to notice forcing moves in time.","C:\Chess books\Organized PDFs\1400-1799\Middlegame Themes, Pawn Play and Tactics","1400-1799\Middlegame Themes, Pawn Play and Tactics\Middlegame Themes and Dynamics - Sakaev and Landa.pdf","C:\Chess books\Organized PDFs\1400-1799\Middlegame Themes, Pawn Play and Tactics\Middlegame Themes and Dynamics - Sakaev and Landa.pdf"
Middlegame Themes and Dynamics,Konstantin Sakaev and Konstantin Landa,1400-1799,1400-1799,"Middlegame Themes, Pawn Play and Tactics",A motif-based middlegame manual built around pawn structures and tactical devices.,Blockading the pawn chain,Restricting pawn advances and piece mobility.,Restricting pawn advances and piece mobility.,General strategic confusion and inconsistent practical decision-making.,"C:\Chess books\Organized PDFs\1400-1799\Middlegame Themes, Pawn Play and Tactics","1400-1799\Middlegame Themes, Pawn Play and Tactics\Middlegame Themes and Dynamics - Sakaev and Landa.pdf","C:\Chess books\Organized PDFs\1400-1799\Middlegame Themes, Pawn Play and Tactics\Middlegame Themes and Dynamics - Sakaev and Landa.pdf"
Middlegame Themes and Dynamics,Konstantin Sakaev and Konstantin Landa,1400-1799,1400-1799,"Middlegame Themes, Pawn Play and Tactics",A motif-based middlegame manual built around pawn structures and tactical devices.,Breaking up a pawn chain,Undermining structure with pawn breaks.,Undermining structure with pawn breaks.,"Missed attacking chances, weak king-safety awareness, and slow conversion of forcing positions.","C:\Chess books\Organized PDFs\1400-1799\Middlegame Themes, Pawn Play and Tactics","1400-1799\Middlegame Themes, Pawn Play and Tactics\Middlegame Themes and Dynamics - Sakaev and Landa.pdf","C:\Chess books\Organized PDFs\1400-1799\Middlegame Themes, Pawn Play and Tactics\Middlegame Themes and Dynamics - Sakaev and Landa.pdf"
Middlegame Themes and Dynamics,Konstantin Sakaev and Konstantin Landa,1400-1799,1400-1799,"Middlegame Themes, Pawn Play and Tactics",A motif-based middlegame manual built around pawn structures and tactical devices.,Backward pawns,Targeting long-term pawn weaknesses.,Targeting long-term pawn weaknesses.,"Misjudging pawn structures, poor piece placement, and vague positional planning.","C:\Chess books\Organized PDFs\1400-1799\Middlegame Themes, Pawn Play and Tactics","1400-1799\Middlegame Themes, Pawn Play and Tactics\Middlegame Themes and Dynamics - Sakaev and Landa.pdf","C:\Chess books\Organized PDFs\1400-1799\Middlegame Themes, Pawn Play and Tactics\Middlegame Themes and Dynamics - Sakaev and Landa.pdf"
Middlegame Themes and Dynamics,Konstantin Sakaev and Konstantin Landa,1400-1799,1400-1799,"Middlegame Themes, Pawn Play and Tactics",A motif-based middlegame manual built around pawn structures and tactical devices.,Doubled pawns,Using or attacking structural defects.,Using or attacking structural defects.,"Missed attacking chances, weak king-safety awareness, and slow conversion of forcing positions.","C:\Chess books\Organized PDFs\1400-1799\Middlegame Themes, Pawn Play and Tactics","1400-1799\Middlegame Themes, Pawn Play and Tactics\Middlegame Themes and Dynamics - Sakaev and Landa.pdf","C:\Chess books\Organized PDFs\1400-1799\Middlegame Themes, Pawn Play and Tactics\Middlegame Themes and Dynamics - Sakaev and Landa.pdf"
Middlegame Themes and Dynamics,Konstantin Sakaev and Konstantin Landa,1400-1799,1400-1799,"Middlegame Themes, Pawn Play and Tactics",A motif-based middlegame manual built around pawn structures and tactical devices.,Isolated pawns,Dynamic chances versus static weaknesses.,Dynamic chances versus static weaknesses.,"Misjudging pawn structures, poor piece placement, and vague positional planning.","C:\Chess books\Organized PDFs\1400-1799\Middlegame Themes, Pawn Play and Tactics","1400-1799\Middlegame Themes, Pawn Play and Tactics\Middlegame Themes and Dynamics - Sakaev and Landa.pdf","C:\Chess books\Organized PDFs\1400-1799\Middlegame Themes, Pawn Play and Tactics\Middlegame Themes and Dynamics - Sakaev and Landa.pdf"
Middlegame Themes and Dynamics,Konstantin Sakaev and Konstantin Landa,1400-1799,1400-1799,"Middlegame Themes, Pawn Play and Tactics",A motif-based middlegame manual built around pawn structures and tactical devices.,Connected pawns,Pawn mass coordination and advancing potential.,Pawn mass coordination and advancing potential.,General strategic confusion and inconsistent practical decision-making.,"C:\Chess books\Organized PDFs\1400-1799\Middlegame Themes, Pawn Play and Tactics","1400-1799\Middlegame Themes, Pawn Play and Tactics\Middlegame Themes and Dynamics - Sakaev and Landa.pdf","C:\Chess books\Organized PDFs\1400-1799\Middlegame Themes, Pawn Play and Tactics\Middlegame Themes and Dynamics - Sakaev and Landa.pdf"
Middlegame Themes and Dynamics,Konstantin Sakaev and Konstantin Landa,1400-1799,1400-1799,"Middlegame Themes, Pawn Play and Tactics",A motif-based middlegame manual built around pawn structures and tactical devices.,Hanging pawns,Dynamic central structure and its plans.,Dynamic central structure and its plans.,"Misjudging pawn structures, poor piece placement, and vague positional planning.","C:\Chess books\Organized PDFs\1400-1799\Middlegame Themes, Pawn Play and Tactics","1400-1799\Middlegame Themes, Pawn Play and Tactics\Middlegame Themes and Dynamics - Sakaev and Landa.pdf","C:\Chess books\Organized PDFs\1400-1799\Middlegame Themes, Pawn Play and Tactics\Middlegame Themes and Dynamics - Sakaev and Landa.pdf"
Middlegame Themes and Dynamics,Konstantin Sakaev and Konstantin Landa,1400-1799,1400-1799,"Middlegame Themes, Pawn Play and Tactics",A motif-based middlegame manual built around pawn structures and tactical devices.,The Minority Attack,Creating weaknesses through flank pawn play.,Creating weaknesses through flank pawn play.,"Missed attacking chances, weak king-safety awareness, and slow conversion of forcing positions.","C:\Chess books\Organized PDFs\1400-1799\Middlegame Themes, Pawn Play and Tactics","1400-1799\Middlegame Themes, Pawn Play and Tactics\Middlegame Themes and Dynamics - Sakaev and Landa.pdf","C:\Chess books\Organized PDFs\1400-1799\Middlegame Themes, Pawn Play and Tactics\Middlegame Themes and Dynamics - Sakaev and Landa.pdf"
